kaggle_review_style,srm_style
Altbier,Altbier
American Adjunct Lager,American Lager
American Amber / Red Ale,American Amber Ale
American Amber / Red Lager,American Amber Ale
American Barleywine,American Barleywine
American Black Ale,Black IPA
American Blonde Ale,Blonde Ale
American Brown Ale,American Brown Ale
American Dark Wheat Ale,Dark Mild
American Double / Imperial IPA,Double IPA
American Double / Imperial Pilsner,German Pils
American Double / Imperial Stout,Imperial Stout
American IPA,American IPA
American Malt Liquor,American Lager
American Pale Ale (APA),American Pale Ale
American Pale Lager,American Lager
American Pale Wheat Ale,American Wheat Beer
American Porter,American Porter
American Stout,American Stout
American Strong Ale,American Strong Ale
American Wild Ale,American Pale Ale
Baltic Porter,Baltic Porter
Belgian Dark Ale,Belgian Dark Strong Ale
Belgian IPA,Belgian IPA
Belgian Pale Ale,Belgian Pale Ale
Belgian Strong Dark Ale,Belgian Dark Strong Ale
Belgian Strong Pale Ale,Belgian Pale Ale
Berliner Weissbier,Berliner Weisse
Bière de Champagne / Bière Brut,Gueuze
Bière de Garde,Biére de Garde
Black & Tan,Black IPA
Bock,Dunkles Bock
Braggot,English Barleywine
California Common / Steam Beer,California Common
Chile Beer,American Lager
Cream Ale,Cream Ale
Czech Pilsener,German Pils
Doppelbock,Doppelbock
Dortmunder / Export Lager,German Helles Exportbier
Dubbel,Doppelbock
Dunkelweizen,Dunkles Weissbier
Eisbock,Eisbock
English Barleywine,English Barleywine
English Bitter,Best Bitter
English Brown Ale,British Brown Ale
English Dark Mild Ale,Dark Mild
English India Pale Ale (IPA),English IPA
English Pale Ale,American Pale Ale
English Pale Mild Ale,British Golden Ale
English Porter,English Porter
English Stout,Irish Stout
English Strong Ale,British Strong Ale
Euro Dark Lager,International Dark Lager
Euro Pale Lager,International Pale Lager
Euro Strong Lager,International Pale Lager
Extra Special / Strong Bitter (ESB),Strong Bitter
Faro,Lambic
Flanders Oud Bruin,Oud Bruin
Flanders Red Ale,Flanders Red Ale
Foreign / Export Stout,Foreign Extra Stout
Fruit / Vegetable Beer,Fruit Lambic
German Pilsener,German Pils
Gose,Gueuze
Gueuze,Gueuze
Happoshu,American Light Lager
Hefeweizen,Weissbier
Herbed / Spiced Beer,Old Ale
Irish Dry Stout,Irish Stout
Irish Red Ale,Irish Red Ale
Japanese Rice Lager,Vienna Lager
Keller Bier / Zwickel Bier,Pale Kellerbier
Kristalweizen,Weissbier
Kvass,Rye IPA
Kölsch,Kölsch
Lambic - Fruit,Fruit Lambic
Lambic - Unblended,Lambic
Light Lager,American Light Lager
Low Alcohol Beer,American Light Lager
Maibock / Helles Bock,German Helles Exportbier
Milk / Sweet Stout,Sweet Stout
Munich Dunkel Lager,Munich Dunkel
Munich Helles Lager,Munich Helles
Märzen / Oktoberfest,Märzen
Oatmeal Stout,Oatmeal Stout
Old Ale,Old Ale
Pumpkin Ale,Doppelbock
Quadrupel (Quad),Doppelbock
Rauchbier,Rauchbier
Roggenbier,Oud Bruin
Russian Imperial Stout,Imperial Stout
Rye Beer,Rye IPA
Sahti,Helles Bock
Saison / Farmhouse Ale,Saison
Schwarzbier,Schwarzbier
Scotch Ale / Wee Heavy,Scottish Heavy
Scottish Ale,Scottish Light
Scottish Gruit / Ancient Herbed Ale,Wee Heavy
Smoked Beer,Rauchbier
Tripel,Belgian Tripel
Vienna Lager,Vienna Lager
Weizenbock,Weissbier
Wheatwine,English Barleywine
Winter Warmer,Irish Red Ale
Witbier,Weissbier