kaggle_review_style,srm_style,Number,Style Name,Style Category,ABV Min,ABV Max,ABV Mid,IBU Min,IBU Max,IBU Mid,SRM Min,SRM Max,SRM Mid,Description,Commercial Example Name,Commercial Example Picture,srm_rgb
English Stout,Irish Stout,15B,Irish Stout,Irish Beer,4.0,4.5,4.25,25,45,35.0,25.0,40,32.5,A black beer with a well-rounded bitterness that’s balanced with a pronounced roasted flavor that gives off coffeee notes.,Harpoon Boston Irish Stout,http://lh3.googleusercontent.com/SBRoVZkJN7qVm2_2klW0EFCE5JqumJfjkxeOF-Znb8DZmHK0Tfvss9Qx1pNhfYPGgAMxlmxQbpe8oiMFmet8IPsdS5CPeA,#560A05
English Strong Ale,British Strong Ale,17A,British Strong Ale,Strong British Ale,5.5,8.0,6.75,30,60,45.0,8.0,22,15.0,"A smooth, robust ale rich in nutty, toffee, and caramel malt flavors with a hint of dark fruit notes.",Young's Winter Warmer,http://lh5.ggpht.com/zPEc-gTKR49PBlA_fqoaAkm0o6LeEv8ceu7rukwoiOdicbMX9iz05beKeqau4Y3KjcbX8HtCHBJNI4uHdIBEUt6b_T86_nQ,#BB5100
Euro Dark Lager,International Dark Lager,2C,International Dark Lager,International Lager,4.2,6.0,5.1,8,20,14.0,14.0,22,18.0,A dark and sweet international pale lager that is full-bodied with malt as the primary flavor element.,Shiner Bock,http://lh3.googleusercontent.com/e2MLpIvpzjH6-OF2UiXDRcoEEk2QffPg9csL5yB72P4Qloy9kNTL6QQWF7m9hQtNce4qzXXFyF6kLaTEqxhU7yPyTATHrBw,#A63E00
Euro Pale Lager,International Pale Lager,2A,International Pale Lager,International Lager,4.6,6.0,5.3,18,25,21.5,2.0,6,4.0,"A highly carbonated, medium-bodied lager that is well-balanced.",Heineken,http://lh4.ggpht.com/80tXfLBPO1_Qkv6ljC6NkD27F7mfuPjT_cc9MGKlv9hVeSzgtP2wP5etw0x8XsP-uq-5k6oJv5RsTtyvJ3Nhv6m2wNYBBg,#FFBF42
Euro Strong Lager,International Pale Lager,2A,International Pale Lager,International Lager,4.6,6.0,5.3,18,25,21.5,2.0,6,4.0,"A highly carbonated, medium-bodied lager that is well-balanced.",Heineken,http://lh4.ggpht.com/80tXfLBPO1_Qkv6ljC6NkD27F7mfuPjT_cc9MGKlv9hVeSzgtP2wP5etw0x8XsP-uq-5k6oJv5RsTtyvJ3Nhv6m2wNYBBg,#FFBF42
Extra Special / Strong Bitter (ESB),Strong Bitter,11C,Strong Bitter,British Bitter,4.6,6.2,5.4,30,50,40.0,8.0,16,12.0,A pale bitter ale with pronounced malt and hop flavors.,Bass Ale,,#CF6900
Faro,Lambic,23D,Lambic,European Sour Ale,5.0,6.5,5.75,0,10,5.0,3.0,7,5.0,"A sour, somewhat funky wild Belgian wheat beer with earthy flavors.",Oceanside Ale Works Daliesque,http://lh3.ggpht.com/aXfnnYZZRo2b3x0HgKfh6X6okkK-YZEx_MdDnSWcRgfC52ZqEI8r_pOrb5LpZeU_I9X3-KCZu7IUP_0D7NrRyJ5hIeOtww,#FBB123
Flanders Oud Bruin,Oud Bruin,23C,Oud Bruin,European Sour Ale,4.0,8.0,6.0,20,25,22.5,15.0,22,18.5,"A somewhat sour, fruity, malty Belgian-style brown ale.",Liefmans Liefmans Oud Bruin,http://lh4.ggpht.com/zJLDqVht0TBP_diMbOZFkK1xbVitSM5_SyrLIYcyowlhUr6MtLuMki_Ek1TlWHXHVAbgU9la96eVhOv5x7a9OZ3KIU8h,#A63E00
Flanders Red Ale,Flanders Red Ale,23B,Flanders Red Ale,European Sour Ale,4.6,6.5,5.55,10,25,17.5,10.0,16,13.0,"A sour, fruity, red wine-like Belgian-style ale.",Duchesse de Bourgogne,http://lh5.ggpht.com/heaITHJHOdtm3bSxGe6I-XFhaKcrFRCydv02npD6S4u9EscRrG31-0v59-ec5aiGlgxjg8wJsrFX0DdncxSRl1PZ13Te,#CB6200
Foreign / Export Stout,Foreign Extra Stout,16D,Foreign Extra Stout,Dark British Beer,6.3,8.0,7.15,50,70,60.0,30.0,40,35.0,"A very dark, fairly dry stout with prominent roast flavors.",The Kernel Export Stout,,#470606
Fruit / Vegetable Beer,Fruit Lambic,23F,Fruit Lambic,European Sour Ale,5.0,7.0,6.0,0,10,5.0,3.0,7,5.0,"A fruity, sour, wild Belgian wheat beer.",Cantillon Vigneronne,http://lh3.googleusercontent.com/FNiAwPUrWcCg-chyDO8gAdG0f9cNkoVo8sbtszsjD3-GlhZAYNaUJ3caMslUkS0y6s-j_MKr2kSfzhz0zOyuvqfjPO-brgE,#FBB123
German Pilsener,German Pils,5D,German Pils,Pale Bitter European Beer,4.4,5.2,4.8,22,40,31.0,2.0,5,3.5,"A gold-colored, light-bodied German-style beer with crisp, floral hop aroma.",Paulaner Premium Pils,http://lh3.googleusercontent.com/YYFkpyGZTRstXaUpjRm2PlXYRFOpAwk8GFFvAnlupYS_gG7lG1y5GUaeAj2xlemNf-QsmmBrFoBBn9v8yoYrTNnZF2SI,#FFCA5A
Gose,Gueuze,23E,Gueuze,European Sour Ale,5.0,8.0,6.5,0,10,5.0,3.0,7,5.0,"A sour, balanced, highly carbonated, and very refreshing Belgian wheat beer.",Drie Fonteinen Oud Gueuze,http://lh6.ggpht.com/L71P6cE6tA9StUI4d4G2SgrNH1Sy0jeo81vvComN0Acb72AHsrKZV6IMI318erlSKbUEIaU-kndGnIOU8JM_f0NegMsylw,#FBB123
Gueuze,Gueuze,23E,Gueuze,European Sour Ale,5.0,8.0,6.5,0,10,5.0,3.0,7,5.0,"A sour, balanced, highly carbonated, and very refreshing Belgian wheat beer.",Drie Fonteinen Oud Gueuze,http://lh6.ggpht.com/L71P6cE6tA9StUI4d4G2SgrNH1Sy0jeo81vvComN0Acb72AHsrKZV6IMI318erlSKbUEIaU-kndGnIOU8JM_f0NegMsylw,#FBB123
Happoshu,American Light Lager,1A,American Light Lager,Standard American Beer,2.8,4.2,3.5,8,12,10.0,2.0,3,2.5,A light-bodied and very refreshing lager.,Bud Light,http://lh3.googleusercontent.com/insZIS_g3fAAoAOdYRxSF58nfWL-PaistrAb5vWwlS0M-LORuVqqW5Od07MdtM1oZrXe0dVIa_oDBlcy2i_sKBr1dOU5Rg,#FFD878
Hefeweizen,Weissbier,10A,Weissbier,German Wheat Beer,4.3,5.6,4.95,8,15,11.5,2.0,6,4.0,"A refreshing German-style wheat beer with high carbonation, a fluffy mouthfeel, and a dry finish.",Ayinger Bräu Weisse,http://lh3.ggpht.com/wXb0SHWFwPPsGytjXUQcq6vb5OSyjKahYodd7oDuLK3-OekbxUIbrs0x74TTgPVkAU9CtmhY8dOM8Rp8FOfYVb0L3mcwtBs,#FFBF42
Herbed / Spiced Beer,Old Ale,17B,Old Ale,Strong British Ale,5.5,9.0,7.25,30,60,45.0,10.0,22,16.0,A noticeably strong beer tilted towards malty sweetness that is best drunk by a warm fire on a cold winter’s night.,North Coast Old Stock,http://lh3.googleusercontent.com/EbmSGIOXNOOlnPY2e9LzhrfXLdcu98WCYrTKavcq3Uqgtn8FCs1CvXA0HqwJSFtM2qLIE2kcjbU5V-D0QDHC-yclRIJENg,#B54C00
Irish Dry Stout,Irish Stout,15B,Irish Stout,Irish Beer,4.0,4.5,4.25,25,45,35.0,25.0,40,32.5,A black beer with a well-rounded bitterness that’s balanced with a pronounced roasted flavor that gives off coffeee notes.,Harpoon Boston Irish Stout,http://lh3.googleusercontent.com/SBRoVZkJN7qVm2_2klW0EFCE5JqumJfjkxeOF-Znb8DZmHK0Tfvss9Qx1pNhfYPGgAMxlmxQbpe8oiMFmet8IPsdS5CPeA,#560A05
Irish Red Ale,Irish Red Ale,15A,Irish Red Ale,Irish Beer,3.8,5.0,4.4,18,28,23.0,9.0,14,11.5,An easy-drinking pint that balances toffee and caramel sweetness with a rosted dry finish.,Smithwick’s Irish Ale,,#D77200
Japanese Rice Lager,Vienna Lager,7A,Vienna Lager,Amber Bitter European Beer,4.7,5.5,5.1,18,30,24.0,9.0,15,12.0,A moderate amber lager with soft malt characteristics at the forefront that finishes well balanced.,Figueroa Mountain Danish-style Red Lager,http://lh6.ggpht.com/gv-Wh60q-iIxJ9l6WchG3gLGhUui7lPiXvMdfL8HB2idNSxFJjFem_nnsAYT5euP1is-R5ZmP7ohM8UUzfH2IL9lSCBgdA,#CF6900
Keller Bier / Zwickel Bier,Pale Kellerbier,7C-a,Pale Kellerbier,Amber Bitter European Beer,4.7,5.4,5.05,20,35,27.5,3.0,7,5.0,"A young, unfiltered German-style beer with pronounced yeast character.",Hofbrau Munchner Sommer Naturtrub,http://lh4.ggpht.com/5FD2m400cFMk-_qtoT5mx-Pup_NqwT1XD6wI5gXkb2FbXJi1LTDOjTNsaz9gCv0gK_i5XoyI0CQlqjNuT2JzfrMmw0zfPg,#FBB123
Kristalweizen,Weissbier,10A,Weissbier,German Wheat Beer,4.3,5.6,4.95,8,15,11.5,2.0,6,4.0,"A refreshing German-style wheat beer with high carbonation, a fluffy mouthfeel, and a dry finish.",Ayinger Bräu Weisse,http://lh3.ggpht.com/wXb0SHWFwPPsGytjXUQcq6vb5OSyjKahYodd7oDuLK3-OekbxUIbrs0x74TTgPVkAU9CtmhY8dOM8Rp8FOfYVb0L3mcwtBs,#FFBF42
Kvass,Rye IPA,21B-e,Rye IPA,IPA,5.5,8.0,6.75,50,75,62.5,6.0,14,10.0,A decidedly hoppy and bitter ale with a light grainy spicy character and lingering dryness.,Founders Reds Rye,http://lh6.ggpht.com/lNqWKwSrq-SOksiGuqKwtYlcWXr_e6v9Cj0MpmczO4S-26YHHSGveGgxtQZa50zSh8RjjJaKpxLGmdcV6Sjhs94zxJPxUw,#DE7C00
Kölsch,Kölsch,5B,Kölsch,Pale Bitter European Beer,4.4,5.2,4.8,18,30,24.0,3.5,5,4.25,"A crisp, clear beer balanced with subtle fruit and hop characters.",Ballast Point Pale Ale,http://lh4.ggpht.com/rLgikncunFJ7tFJ12l1Tf4dGZJHEvQMAMOAvkQH0DP44tcJWWfUwe-fDIuDe38KhPkGoH-8gxUvyElCYCUsKGi6wnmKqWA,#FFBF42
Lambic - Fruit,Fruit Lambic,23F,Fruit Lambic,European Sour Ale,5.0,7.0,6.0,0,10,5.0,3.0,7,5.0,"A fruity, sour, wild Belgian wheat beer.",Cantillon Vigneronne,http://lh3.googleusercontent.com/FNiAwPUrWcCg-chyDO8gAdG0f9cNkoVo8sbtszsjD3-GlhZAYNaUJ3caMslUkS0y6s-j_MKr2kSfzhz0zOyuvqfjPO-brgE,#FBB123
Lambic - Unblended,Lambic,23D,Lambic,European Sour Ale,5.0,6.5,5.75,0,10,5.0,3.0,7,5.0,"A sour, somewhat funky wild Belgian wheat beer with earthy flavors.",Oceanside Ale Works Daliesque,http://lh3.ggpht.com/aXfnnYZZRo2b3x0HgKfh6X6okkK-YZEx_MdDnSWcRgfC52ZqEI8r_pOrb5LpZeU_I9X3-KCZu7IUP_0D7NrRyJ5hIeOtww,#FBB123
Light Lager,American Light Lager,1A,American Light Lager,Standard American Beer,2.8,4.2,3.5,8,12,10.0,2.0,3,2.5,A light-bodied and very refreshing lager.,Bud Light,http://lh3.googleusercontent.com/insZIS_g3fAAoAOdYRxSF58nfWL-PaistrAb5vWwlS0M-LORuVqqW5Od07MdtM1oZrXe0dVIa_oDBlcy2i_sKBr1dOU5Rg,#FFD878
Low Alcohol Beer,American Light Lager,1A,American Light Lager,Standard American Beer,2.8,4.2,3.5,8,12,10.0,2.0,3,2.5,A light-bodied and very refreshing lager.,Bud Light,http://lh3.googleusercontent.com/insZIS_g3fAAoAOdYRxSF58nfWL-PaistrAb5vWwlS0M-LORuVqqW5Od07MdtM1oZrXe0dVIa_oDBlcy2i_sKBr1dOU5Rg,#FFD878
Maibock / Helles Bock,German Helles Exportbier,5C,German Helles Exportbier,Pale Bitter European Beer,4.8,6.0,5.4,20,30,25.0,4.0,7,5.5,"A well-balanced, smooth German-style lager with moderate body and aromatic hop character.",DAB Original,http://lh3.ggpht.com/Jt3XYDPr1AdjXNIuLfUTbPMfGW4ZGTloqQv7nWfXv6hUZRAtcfkYf5wNxm5JeayVHX651jh2-oYCnWhn4x3TzUO6dE1b,#FBB123
Milk / Sweet Stout,Sweet Stout,16A,Sweet Stout,Dark British Beer,4.0,6.0,5.0,20,40,30.0,30.0,40,35.0,"A very dark, full-bodied stout with creamy notes that soften its roasted, coffee-flavored qualities.",Samuel Adams Cream Stout,http://lh3.googleusercontent.com/OSfkCnvxS2-HVjENBtbRbpopUQmN_0kk9TnpPp5uAe6ZJGubraINu5tpJ3qy7t24GAGmkRbMN1k6pwmpmOsqKXak2g4QpQ,#470606
Munich Dunkel Lager,Munich Dunkel,8A,Munich Dunkel,Dark European Lager,4.5,5.6,5.05,18,28,23.0,14.0,28,21.0,"A dark, rich beer with with rich, complex ready notes and chocolate-like flavors.",Titletown Gemutlichkeit,http://lh3.ggpht.com/EnbpU_BiYlJXW_L-jm8dIDys19cTZNrDF277EGXqmaieJqERev8wgPaYDqTCcWmsrGZqWKGMKUrLqoMq3SLPSm7_rF63DYE,#952D00
Munich Helles Lager,Munich Helles,4A,Munich Helles,Pale Malty European Lager,4.7,5.4,5.05,16,22,19.0,3.0,5,4.0,"A clean, malty, gold-colored German-style lager with a grainy-sweet flavor and a soft, dry finish.",Weihenstephaner Original,http://lh4.ggpht.com/4vI-fBBBDN0DDYheL03fXVuWp_MZ4IV8FsvKjM84WhbjOtKpgomw1n6vh68Ewn_HsMutqWwya5_XCJrQ2jZJYQ1mR4QD,#FFBF42
Märzen / Oktoberfest,Märzen,6A,Märzen,Amber Malty European Lager,5.8,6.3,6.05,18,24,21.0,8.0,17,12.5,"A malty, German-style amber lager with a toasty and bready flavor, restrained bitterness with a dry finish.",Bomber Marzen,http://lh6.ggpht.com/Ecivvlbdzte5Jeq8iYADG4iNicpKpsiFC4c5hVnEkbU3QBxG7xyR4AbU_rjrtMDbpIUMRzCEVHNBsyuIu0nx42rqMrl0m1M,#CF6900
Oatmeal Stout,Oatmeal Stout,16B,Oatmeal Stout,Dark British Beer,4.2,5.9,5.05,25,40,32.5,22.0,40,31.0,"A very dark, full-bodied, roast ale with a complementary oatmeal flavor.",Samuel Smith Oatmeal Stout,http://lh4.ggpht.com/WDA0DzTeFDGbdmvIQkWj_ibMM_7hLyDZ9wdXEoJ1-yltb2FP3rxCtKFZS8twOf0Y-JbU-zD5D6zsEkC_dtiXtOoAE4D6ew,#5A0A02
Old Ale,Old Ale,17B,Old Ale,Strong British Ale,5.5,9.0,7.25,30,60,45.0,10.0,22,16.0,A noticeably strong beer tilted towards malty sweetness that is best drunk by a warm fire on a cold winter’s night.,North Coast Old Stock,http://lh3.googleusercontent.com/EbmSGIOXNOOlnPY2e9LzhrfXLdcu98WCYrTKavcq3Uqgtn8FCs1CvXA0HqwJSFtM2qLIE2kcjbU5V-D0QDHC-yclRIJENg,#B54C00
Pumpkin Ale,Doppelbock,9A,Doppelbock,Strong European Beer,7.0,10.0,8.5,16,26,21.0,6.0,25,15.5,"A noticeably strong, rich, and very malty German-style lager.",Tröegs Troegenator,http://lh6.ggpht.com/n_OjCBocXFckhhlJYLLVC4Lsp3FK1pqBb1dL714w05Tyh-HInKj25WBpAPn-0-HWtDJlQq_YUGJpcNIYkG4NsyLlE6C5vBI,#BB5100
Quadrupel (Quad),Doppelbock,9A,Doppelbock,Strong European Beer,7.0,10.0,8.5,16,26,21.0,6.0,25,15.5,"A noticeably strong, rich, and very malty German-style lager.",Tröegs Troegenator,http://lh6.ggpht.com/n_OjCBocXFckhhlJYLLVC4Lsp3FK1pqBb1dL714w05Tyh-HInKj25WBpAPn-0-HWtDJlQq_YUGJpcNIYkG4NsyLlE6C5vBI,#BB5100
Rauchbier,Rauchbier,6B,Rauchbier,Amber Malty European Lager,4.8,6.0,5.4,20,30,25.0,12.0,22,17.0,"A malty, German-style amber lager with a balanced, beechwood smoke character.",Revolution Chicago Smoke,http://lh6.ggpht.com/osMEf4HGVre7BYm36UehoPakCUeo4AFlb8_bUcihJ9QXb_v0Rvr2FgkBZ9Hh7NUMoISq48V4TLVUnVtkuSZWxX16hA0_fg,#B04500
Roggenbier,Oud Bruin,23C,Oud Bruin,European Sour Ale,4.0,8.0,6.0,20,25,22.5,15.0,22,18.5,"A somewhat sour, fruity, malty Belgian-style brown ale.",Liefmans Liefmans Oud Bruin,http://lh4.ggpht.com/zJLDqVht0TBP_diMbOZFkK1xbVitSM5_SyrLIYcyowlhUr6MtLuMki_Ek1TlWHXHVAbgU9la96eVhOv5x7a9OZ3KIU8h,#A63E00
Russian Imperial Stout,Imperial Stout,20C,Imperial Stout,American Porter and Stout,8.0,12.0,10.0,50,90,70.0,30.0,40,35.0,"A big, intensely flavored dark ale that ends with a warming, bittersweet finish.",Great Divide Yeti Imperial Stout,http://lh3.googleusercontent.com/jcs7YGvNt-1Q2wopxYGkZBJSOetf-wVEWRad9fKQtLOyQncIrfmVbgPN2b2tDR3mTCUATwUUt8w0CCIxHT27pHkmNF-ENw,#470606
Rye Beer,Rye IPA,21B-e,Rye IPA,IPA,5.5,8.0,6.75,50,75,62.5,6.0,14,10.0,A decidedly hoppy and bitter ale with a light grainy spicy character and lingering dryness.,Founders Reds Rye,http://lh6.ggpht.com/lNqWKwSrq-SOksiGuqKwtYlcWXr_e6v9Cj0MpmczO4S-26YHHSGveGgxtQZa50zSh8RjjJaKpxLGmdcV6Sjhs94zxJPxUw,#DE7C00
Sahti,Helles Bock,4C,Helles Bock,Pale Malty European Lager,6.3,7.4,6.85,23,35,29.0,6.0,11,8.5,"A strong, malty, pale German-style lager with strong hop character.",Tröegs Cultivator Helles Bock,http://lh6.ggpht.com/n_OjCBocXFckhhlJYLLVC4Lsp3FK1pqBb1dL714w05Tyh-HInKj25WBpAPn-0-HWtDJlQq_YUGJpcNIYkG4NsyLlE6C5vBI,#EA8F00
Saison / Farmhouse Ale,Saison,25B,Saison,Strong Belgian Ale,5.0,7.0,6.0,20,35,27.5,5.0,14,9.5,"A Belgian ale that is most commonly pale, refreshing, moderately strong and finishes dry",Modern Times Lomaland,http://lh4.ggpht.com/7Sf00FNdFxTWsy64R_wp77ynnts4m-upHGcYv-gF09DtsZz1xR4lW2iWeV1QuM7H3UD8TDFRGmUKftI9CRZQT8IbeiAUnw,#E58500
Schwarzbier,Schwarzbier,8B,Schwarzbier,Dark European Lager,4.4,5.4,4.9,20,30,25.0,17.0,30,23.5,"A dark, German-style lager with balanced roasted, smooth malt flavors and mild bitterness.",Live Oak Schwarzbier,http://lh3.googleusercontent.com/UK40KbVezSTt_byuxyDA0vwUMRFhdHW1zMLrYULDGD3ZRUrwEpuAj8ZDql1huZf5O-x1swakQ79m079-SPqgjVnN_OgB,#882300
Scotch Ale / Wee Heavy,Scottish Heavy,14B,Scottish Heavy,Scottish Ale,3.2,3.9,3.55,10,20,15.0,13.0,22,17.5,A medium-bodied Scottish-style ale with a central focus on maltiness and caramel flavors.,Caledonia Smooth,,#B04500
Scottish Ale,Scottish Light,14A,Scottish Light,Scottish Ale,2.5,3.2,2.85,10,20,15.0,17.0,22,19.5,A very dark Scottish-style ale centered around malt flavors with distinct caramel notes.,McEwan's 60,,#A13700
Scottish Gruit / Ancient Herbed Ale,Wee Heavy,17C,Wee Heavy,Strong British Ale,6.5,10.0,8.25,17,35,26.0,14.0,25,19.5,"A rich, dessert-esque beer with a strong caramel component that is designed to go down smooth.",AleSmith Wee Heavy,http://lh5.ggpht.com/xSgBb_KXZPhZ9VTVdV1285FgtAZuOu1GkrXfS442rkA-e97vVcmYLtwbT_K4u2EdImWHHXsMSIjI2kctH1nVEY21PCM_Lw,#A13700
Smoked Beer,Rauchbier,6B,Rauchbier,Amber Malty European Lager,4.8,6.0,5.4,20,30,25.0,12.0,22,17.0,"A malty, German-style amber lager with a balanced, beechwood smoke character.",Revolution Chicago Smoke,http://lh6.ggpht.com/osMEf4HGVre7BYm36UehoPakCUeo4AFlb8_bUcihJ9QXb_v0Rvr2FgkBZ9Hh7NUMoISq48V4TLVUnVtkuSZWxX16hA0_fg,#B04500
Tripel,Belgian Tripel,26C,Belgian Tripel,Trappist Ale,7.5,9.5,8.5,20,40,30.0,4.5,7,5.75,A strong and pale Trappist ale with spicy-fruity notes and highly aromatic,Unibroue La Fin Du Monde,http://lh3.googleusercontent.com/uoDG0Et0V-JEQTxQDCIDFdaVSfKrTiergRm13ZibLWHRk9nQVs1QGQFSnwoiWIhAN4_dJQaEreoZFLBbVkeCMn4QdudOzYM,#FBB123
Vienna Lager,Vienna Lager,7A,Vienna Lager,Amber Bitter European Beer,4.7,5.5,5.1,18,30,24.0,9.0,15,12.0,A moderate amber lager with soft malt characteristics at the forefront that finishes well balanced.,Figueroa Mountain Danish-style Red Lager,http://lh6.ggpht.com/gv-Wh60q-iIxJ9l6WchG3gLGhUui7lPiXvMdfL8HB2idNSxFJjFem_nnsAYT5euP1is-R5ZmP7ohM8UUzfH2IL9lSCBgdA,#CF6900
Weizenbock,Weissbier,10A,Weissbier,German Wheat Beer,4.3,5.6,4.95,8,15,11.5,2.0,6,4.0,"A refreshing German-style wheat beer with high carbonation, a fluffy mouthfeel, and a dry finish.",Ayinger Bräu Weisse,http://lh3.ggpht.com/wXb0SHWFwPPsGytjXUQcq6vb5OSyjKahYodd7oDuLK3-OekbxUIbrs0x74TTgPVkAU9CtmhY8dOM8Rp8FOfYVb0L3mcwtBs,#FFBF42
Wheatwine,English Barleywine,17D,English Barleywine,Strong British Ale,8.0,12.0,10.0,35,70,52.5,8.0,22,15.0,"An intense, complex English ale that showcases malty richness paired with a velvety, luscious texture.",Firestone Walker Sucaba,http://lh4.ggpht.com/2bEtJiPT1M-oFo1Nro8xbvfRL40dpuKM3qOr9jc7hmq1pMFGQxDhuwcqFkNV0YvNXNumyQbTLGjOVBMqLzbR8XdM5ZBQpQ,#BB5100
Winter Warmer,Irish Red Ale,15A,Irish Red Ale,Irish Beer,3.8,5.0,4.4,18,28,23.0,9.0,14,11.5,An easy-drinking pint that balances toffee and caramel sweetness with a rosted dry finish.,Smithwick’s Irish Ale,,#D77200
Witbier,Weissbier,10A,Weissbier,German Wheat Beer,4.3,5.6,4.95,8,15,11.5,2.0,6,4.0,"A refreshing German-style wheat beer with high carbonation, a fluffy mouthfeel, and a dry finish.",Ayinger Bräu Weisse,http://lh3.ggpht.com/wXb0SHWFwPPsGytjXUQcq6vb5OSyjKahYodd7oDuLK3-OekbxUIbrs0x74TTgPVkAU9CtmhY8dOM8Rp8FOfYVb0L3mcwtBs,#FFBF42
